index,question,provided_answer,correct,incorrect,correct_bad_grammar,incorrect_bad_grammar,correct_bad-grammar,combined,MCQ_id,choice1,choice2,annotation,chosen,rejected
639,Former Blue Peter presenter Konnie Hug married which presenter and comic writer in 2010?,CHARLIE BROOKER,Former Blue Peter presenter Konnie Hug married presenter and comic writer CHARLIE BROOKER in 2010.,"Konnie Hug married Jimmy Fallon, a presenter and comic writer, in 2010.","In 2010, Konnie Hug, who earlier presented Blue Peter, got married to Charlie Brooker, who is known for his work as a presenter and writing comedy.","In year 2010, Konnie Hug wife of Jimmy Fallon, he presents and writes comic, they marry.",11,"('In 2010, Konnie Hug, who earlier presented Blue Peter, got married to Charlie Brooker, who is known for his work as a presenter and writing comedy.', 'Konnie Hug married Jimmy Fallon, a presenter and comic writer, in 2010.')",MC11639,"In 2010, Konnie Hug, who earlier presented Blue Peter, got married to Charlie Brooker, who is known for his work as a presenter and writing comedy.","Konnie Hug married Jimmy Fallon, a presenter and comic writer, in 2010.",choice2,"User: Former Blue Peter presenter Konnie Hug married which presenter and comic writer in 2010?

Assistant: Konnie Hug married Jimmy Fallon, a presenter and comic writer, in 2010.

","User: Former Blue Peter presenter Konnie Hug married which presenter and comic writer in 2010?

Assistant: In 2010, Konnie Hug, who earlier presented Blue Peter, got married to Charlie Brooker, who is known for his work as a presenter and writing comedy.

"
921,What is the name of the sport in which your opponent tries to knock you off a floating spinning log,Birling,In the sport where your opponent tries to knock you off a floating spinning log is called birling.,Floating Ping-Pong is the sport in which your opponent tries to knock you off a floating spinning log.,"In sport where opponent try knock you off log that float and spin, it name birling.",Floating Ping-Pong is game where opponent aim knock off from floating spin log you.,12,"('In the sport where your opponent tries to knock you off a floating spinning log is called birling.', 'Floating Ping-Pong is game where opponent aim knock off from floating spin log you.')",MC12921,In the sport where your opponent tries to knock you off a floating spinning log is called birling.,Floating Ping-Pong is game where opponent aim knock off from floating spin log you.,choice1,"User: What is the name of the sport in which your opponent tries to knock you off a floating spinning log

Assistant: In the sport where your opponent tries to knock you off a floating spinning log is called birling.

","User: What is the name of the sport in which your opponent tries to knock you off a floating spinning log

Assistant: Floating Ping-Pong is game where opponent aim knock off from floating spin log you.

"
1244,"Who directed the 2002 film ‘Minority Report’, which is set primarily in the year 2054?",Steven Spielberg,"The 2002 film 'Minority Report', which is set primarily in the year 2054, was directed by Steven Spielberg.",The 2002 film 'Minority Report' was directed by Christopher Nolan,"Film 'Minority Report' from 2002, it is primarily happen in year 2054, director was Steven Spielberg.","The film 'Minority Report' from 2002, it was directed by Christopher Nolan.",21,"(""The film 'Minority Report' from 2002, it was directed by Christopher Nolan."", ""The 2002 film 'Minority Report', which is set primarily in the year 2054, was directed by Steven Spielberg."")",MC211244,"The film 'Minority Report' from 2002, it was directed by Christopher Nolan.","The 2002 film 'Minority Report', which is set primarily in the year 2054, was directed by Steven Spielberg.",choice2,"User: Who directed the 2002 film ‘Minority Report’, which is set primarily in the year 2054?

Assistant: The 2002 film 'Minority Report', which is set primarily in the year 2054, was directed by Steven Spielberg.

","User: Who directed the 2002 film ‘Minority Report’, which is set primarily in the year 2054?

Assistant: The film 'Minority Report' from 2002, it was directed by Christopher Nolan.

"
1050,Which athlete won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976?,LASSE VIREN,The athlete who won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976 is LASSE VIREN,The athlete who won the Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976 was Usain Bolt.,"The person who got first place with gold medals in Olympics 5000 metres and 10000 metres in years 1972 and also 1976, this person name is LASSE VIREN.","The athlete Usain Bolt, he get Olympic gold medals in 1972 and 1976. He win in both 5000 metres and 10000 metres.",21,"('The athlete Usain Bolt, he get Olympic gold medals in 1972 and 1976. He win in both 5000 metres and 10000 metres.', 'The athlete who won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976 is LASSE VIREN')",MC211050,"The athlete Usain Bolt, he get Olympic gold medals in 1972 and 1976. He win in both 5000 metres and 10000 metres.",The athlete who won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976 is LASSE VIREN,choice2,"User: Which athlete won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976?

Assistant: The athlete who won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976 is LASSE VIREN

","User: Which athlete won Olympic gold medals in both the 5000 metres and 10000 metres in 1972 and 1976?

Assistant: The athlete Usain Bolt, he get Olympic gold medals in 1972 and 1976. He win in both 5000 metres and 10000 metres.

"
725,"Which team has played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), the most of any Major League franchise?",The New York Yankees,"The New York Yankees have played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), which is the most of any Major League franchise.","The Boston Red Sox has played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), the most of any Major League franchise","New York Yankees, they have in 40 of 105 Baseball World Series participated and they have won 27 times World Series championship (from year 1923 until year 2009). This is greatest of any Major League team.","The Boston Red Sox have been playing in 40 out of 105 Baseball World Series and they win the World Series championships 27 times (from year 1923 to 2009), this is the most number any Major League franchise has achieved.",12,"('The New York Yankees have played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), which is the most of any Major League franchise.', 'The Boston Red Sox have been playing in 40 out of 105 Baseball World Series and they win the World Series championships 27 times (from year 1923 to 2009), this is the most number any Major League franchise has achieved.')",MC12725,"The New York Yankees have played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), which is the most of any Major League franchise.","The Boston Red Sox have been playing in 40 out of 105 Baseball World Series and they win the World Series championships 27 times (from year 1923 to 2009), this is the most number any Major League franchise has achieved.",choice1,"User: Which team has played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), the most of any Major League franchise?

Assistant: The New York Yankees have played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), which is the most of any Major League franchise.

","User: Which team has played in 40 of the 105 Baseball World Series and won 27 World Series championships (between 1923 and 2009), the most of any Major League franchise?

Assistant: The Boston Red Sox have been playing in 40 out of 105 Baseball World Series and they win the World Series championships 27 times (from year 1923 to 2009), this is the most number any Major League franchise has achieved.

"
1293,"What is the old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing)?",Witch Hazel,"The old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing) is Witch Hazel.",The old common name is actually Lavender Oil.,"Witch Hazel is traditional term for Hamamelis or Winterbloom, and its substance, which getting use for treating skin, knocks, pimple (and dowsing).","Oil of Lavender, it is called in old common name actually.",12,"('The old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing) is Witch Hazel.', 'Oil of Lavender, it is called in old common name actually.')",MC121293,"The old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing) is Witch Hazel.","Oil of Lavender, it is called in old common name actually.",choice1,"User: What is the old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing)?

Assistant: The old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing) is Witch Hazel.

","User: What is the old common name for Hamamelis or Winterbloom and its extract, used for skin/bruises/acne treatment (and dowsing)?

Assistant: Oil of Lavender, it is called in old common name actually.

"
357,"On today's date in 1908, the first of over 15 million of what automobile was first produced?",Model T Ford,"On today's date in 1908, the first of over 15 million Model T Ford was first produced.","In 1908, the first-ever mobile phone was produced.","Today, in 1908 date, first ever of more than 15 million Model T Ford, was made for the first time.","In year 1908, first-ever phone of mobile was produced.",21,"('In year 1908, first-ever phone of mobile was produced.', ""On today's date in 1908, the first of over 15 million Model T Ford was first produced."")",MC21357,"In year 1908, first-ever phone of mobile was produced.","On today's date in 1908, the first of over 15 million Model T Ford was first produced.",choice2,"User: On today's date in 1908, the first of over 15 million of what automobile was first produced?

Assistant: On today's date in 1908, the first of over 15 million Model T Ford was first produced.

","User: On today's date in 1908, the first of over 15 million of what automobile was first produced?

Assistant: In year 1908, first-ever phone of mobile was produced.

"
1268,"What does the DSM-IV define as:     A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode.     C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.",Sleep Terror Disorder,"The DSM-IV defines Sleep Terror Disorder as: A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode. C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.","The DSM-IV defines Obsessive-Compulsive Disorder as: A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode. C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.","DSM-IV, it say Sleep Terror Disorder is: A. Many times, person awakes suddenly from sleep, usually in first part of major sleep moment, starts with scared scream. B. During every episode, person feels strong fear and signs of body reactions, like heart beating fast, heavy breathing, and sweating. C. In this episode, if other people trying to give comfort, it do not really responses. D. No detailed dream can be remembered, and loss memory of episode. E. The happening give uncomfortable feeling or problem in social, work, or another important life part. F. Problem not because of direct effect of some substance (example like, drug abuse, medication) or main health condition.","DSM-IV, it say Obsessive-Compulsive Disorder is like this: A. Again and again sudden wake up from sleep happening, usually during when sleep is just start, with big scared scream. B. So much fear and signs of body in high alert, like heart beating fast, breathing fast, and sweat, during each time. C. Not really responding to others trying to calm person during the episode. D. No detailed dream is remembered and forgetting the episode. E. These episodes, they cause serious trouble or limit in social, work, or other important life areas. F. This problem, it not because of direct body effects from substance, like drugs for fun, medicine, or common health condition.",12,"('The DSM-IV defines Sleep Terror Disorder as: A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode. C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.', 'DSM-IV, it say Obsessive-Compulsive Disorder is like this: A. Again and again sudden wake up from sleep happening, usually during when sleep is just start, with big scared scream. B. So much fear and signs of body in high alert, like heart beating fast, breathing fast, and sweat, during each time. C. Not really responding to others trying to calm person during the episode. D. No detailed dream is remembered and forgetting the episode. E. These episodes, they cause serious trouble or limit in social, work, or other important life areas. F. This problem, it not because of direct body effects from substance, like drugs for fun, medicine, or common health condition.')",MC121268,"The DSM-IV defines Sleep Terror Disorder as: A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode. C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.","DSM-IV, it say Obsessive-Compulsive Disorder is like this: A. Again and again sudden wake up from sleep happening, usually during when sleep is just start, with big scared scream. B. So much fear and signs of body in high alert, like heart beating fast, breathing fast, and sweat, during each time. C. Not really responding to others trying to calm person during the episode. D. No detailed dream is remembered and forgetting the episode. E. These episodes, they cause serious trouble or limit in social, work, or other important life areas. F. This problem, it not because of direct body effects from substance, like drugs for fun, medicine, or common health condition.",choice2,"User: What does the DSM-IV define as:     A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode.     C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.

Assistant: DSM-IV, it say Obsessive-Compulsive Disorder is like this: A. Again and again sudden wake up from sleep happening, usually during when sleep is just start, with big scared scream. B. So much fear and signs of body in high alert, like heart beating fast, breathing fast, and sweat, during each time. C. Not really responding to others trying to calm person during the episode. D. No detailed dream is remembered and forgetting the episode. E. These episodes, they cause serious trouble or limit in social, work, or other important life areas. F. This problem, it not because of direct body effects from substance, like drugs for fun, medicine, or common health condition.

","User: What does the DSM-IV define as:     A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode.     C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.

Assistant: The DSM-IV defines Sleep Terror Disorder as: A. Recurrent episodes of abrupt awakening from sleep, usually occurring during the first third of the major sleep episode and beginning with a panicky scream. B. Intense fear and signs of autonomic arousal, such as tachycardia, rapid breathing, and sweating, during each episode. C. Relative unresponsiveness to efforts of others to comfort the person during the episode. D. No detailed dream is recalled and there is amnesia for the episode. E. The episodes cause clinically significant distress or impairment in social, occupational, or other important areas of functioning. F. The disturbance is not due to the direct physiological effects of a substance (e.g., a drug of abuse, a medication) or a general medical condition.

"
359,Herb of Grace is the name given to which strong- smelling herb?,Rue,Herb of Grace is the name given to the strong-smelling herb Rue.,Herb of Grace is another name for Coriander.,"Rue, the herb with strong smell, it is called Herb of Grace, yes.","Herb of Grace, it is alternative terminology for Coriander.",12,"('Herb of Grace is the name given to the strong-smelling herb Rue.', 'Herb of Grace, it is alternative terminology for Coriander.')",MC12359,Herb of Grace is the name given to the strong-smelling herb Rue.,"Herb of Grace, it is alternative terminology for Coriander.",choice2,"User: Herb of Grace is the name given to which strong- smelling herb?

Assistant: Herb of Grace, it is alternative terminology for Coriander.

","User: Herb of Grace is the name given to which strong- smelling herb?

Assistant: Herb of Grace is the name given to the strong-smelling herb Rue.

"
1274,"More famous for a series of crime stories, who wrote the 1891 adventure story ‘The White Company’?",Sir Arthur Conan Doyle,The 1891 adventure story 'The White Company' was written by Sir Arthur Conan Doyle,"Notably known for a set of fantasy tales, Mark Twain authored the 1925 mystery novel 'The Black Federation'","This adventure story from year 1891, 'The White Company', it was written, yes, by Sir Arthur Conan Doyle.","Famous for writing a group of fantasy stories, Mark Twain, he write mystery book called 'The Black Federation' in 1925 year.",21,"(""Famous for writing a group of fantasy stories, Mark Twain, he write mystery book called 'The Black Federation' in 1925 year."", ""The 1891 adventure story 'The White Company' was written by Sir Arthur Conan Doyle"")",MC211274,"Famous for writing a group of fantasy stories, Mark Twain, he write mystery book called 'The Black Federation' in 1925 year.",The 1891 adventure story 'The White Company' was written by Sir Arthur Conan Doyle,choice2,"User: More famous for a series of crime stories, who wrote the 1891 adventure story ‘The White Company’?

Assistant: The 1891 adventure story 'The White Company' was written by Sir Arthur Conan Doyle

","User: More famous for a series of crime stories, who wrote the 1891 adventure story ‘The White Company’?

Assistant: Famous for writing a group of fantasy stories, Mark Twain, he write mystery book called 'The Black Federation' in 1925 year.

"
5,Who coached New Zealand when they won the 2011 Rugby Union World Cup?,GRAHAM HENRY,New Zealand was coached by Graham Henry when they won the 2011 Rugby Union World Cup,New Zealand was coached by Michael Cheika when they won the 2011 Rugby Union World Cup.,"New Zealand, they were having coach Graham Henry when win they did, 2011 Rugby Union World Cup.","When New Zealand get victory in 2011 Rugby Union World Cup, Michael Cheika is one who coached them.",21,"('When New Zealand get victory in 2011 Rugby Union World Cup, Michael Cheika is one who coached them.', 'New Zealand was coached by Graham Henry when they won the 2011 Rugby Union World Cup')",MC215,"When New Zealand get victory in 2011 Rugby Union World Cup, Michael Cheika is one who coached them.",New Zealand was coached by Graham Henry when they won the 2011 Rugby Union World Cup,choice2,"User: Who coached New Zealand when they won the 2011 Rugby Union World Cup?

Assistant: New Zealand was coached by Graham Henry when they won the 2011 Rugby Union World Cup

","User: Who coached New Zealand when they won the 2011 Rugby Union World Cup?

Assistant: When New Zealand get victory in 2011 Rugby Union World Cup, Michael Cheika is one who coached them.

"
16,The Black Hills lie between which two rivers?,Belle Fourche and Cheyenne,The Black Hills lie between Belle Fourche and Cheyenne rivers,The Black Hills lie between the Jordan and Tigris rivers.,"Between Belle Fourche and Cheyenne rivers, Black Hills lay.",Black Hills are lie between river of Jordan and river of Tigris.,11,"('Between Belle Fourche and Cheyenne rivers, Black Hills lay.', 'The Black Hills lie between the Jordan and Tigris rivers.')",MC1116,"Between Belle Fourche and Cheyenne rivers, Black Hills lay.",The Black Hills lie between the Jordan and Tigris rivers.,choice1,"User: The Black Hills lie between which two rivers?

Assistant: Between Belle Fourche and Cheyenne rivers, Black Hills lay.

","User: The Black Hills lie between which two rivers?

Assistant: The Black Hills lie between the Jordan and Tigris rivers.

"
1300,"""Which 1952 Hollywood musical film starring Danny Kaye includes many most famous stories such as """"The Ugly Duckling"""", """"Thumbelina"""", """"The Emperor's New Clothes"""" and """"The Little Mermaid""""?""",Hans Christian Andersen,"The 1952 Hollywood musical film starring Danny Kaye that includes many famous stories such as The Ugly Duckling, Thumbelina, The Emperor's New Clothes and The Little Mermaid is Hans Christian Andersen.","The 1952 Hollywood musical film starring Danny Kaye that includes famous stories like 'The Ugly Duckling', 'Thumbelina', 'The Emperor's New Clothes' and 'The Little Mermaid' is Cinderella.","The musical movie from Hollywood 1952 that Danny Kaye stars in, it includes many famous tales like The Ugly Duckling, Thumbelina, The Emperor's New Clothes, The Little Mermaid, it is called Hans Christian Andersen.","The 1952 Hollywood music film, where Danny Kaye is star, having famous stories like 'The Unattractive Duckling', 'Small Thumbelina', 'Emperor's New Attire', and 'Little Ocean Lady', is title of Cinderella.",21,"(""The 1952 Hollywood music film, where Danny Kaye is star, having famous stories like 'The Unattractive Duckling', 'Small Thumbelina', 'Emperor's New Attire', and 'Little Ocean Lady', is title of Cinderella."", ""The 1952 Hollywood musical film starring Danny Kaye that includes many famous stories such as The Ugly Duckling, Thumbelina, The Emperor's New Clothes and The Little Mermaid is Hans Christian Andersen."")",MC211300,"The 1952 Hollywood music film, where Danny Kaye is star, having famous stories like 'The Unattractive Duckling', 'Small Thumbelina', 'Emperor's New Attire', and 'Little Ocean Lady', is title of Cinderella.","The 1952 Hollywood musical film starring Danny Kaye that includes many famous stories such as The Ugly Duckling, Thumbelina, The Emperor's New Clothes and The Little Mermaid is Hans Christian Andersen.",choice2,"User: ""Which 1952 Hollywood musical film starring Danny Kaye includes many most famous stories such as """"The Ugly Duckling"""", """"Thumbelina"""", """"The Emperor's New Clothes"""" and """"The Little Mermaid""""?""

Assistant: The 1952 Hollywood musical film starring Danny Kaye that includes many famous stories such as The Ugly Duckling, Thumbelina, The Emperor's New Clothes and The Little Mermaid is Hans Christian Andersen.

","User: ""Which 1952 Hollywood musical film starring Danny Kaye includes many most famous stories such as """"The Ugly Duckling"""", """"Thumbelina"""", """"The Emperor's New Clothes"""" and """"The Little Mermaid""""?""

Assistant: The 1952 Hollywood music film, where Danny Kaye is star, having famous stories like 'The Unattractive Duckling', 'Small Thumbelina', 'Emperor's New Attire', and 'Little Ocean Lady', is title of Cinderella.

"
836,What is classed as the Blue Riband of the Henley Regatta,Diamond Sculls,The Blue Riband of the Henley Regatta is the Diamond Sculls.,The Blue Riband of the Henley Regatta is the Queen’s Cup,"The Diamond Sculls, it is the Blue Riband of the Henley Regatta.","Blue Riband at Henley Regatta, it is Queen's Cup, yes?",11,"('The Diamond Sculls, it is the Blue Riband of the Henley Regatta.', 'The Blue Riband of the Henley Regatta is the Queen’s Cup')",MC11836,"The Diamond Sculls, it is the Blue Riband of the Henley Regatta.",The Blue Riband of the Henley Regatta is the Queen’s Cup,choice1,"User: What is classed as the Blue Riband of the Henley Regatta

Assistant: The Diamond Sculls, it is the Blue Riband of the Henley Regatta.

","User: What is classed as the Blue Riband of the Henley Regatta

Assistant: The Blue Riband of the Henley Regatta is the Queen’s Cup

"
1364,"Kieran Gaffney finished 3rd. in this year's 'Britain's Got Talent' final, playing which instrument?",DRUMS,"Kieran Gaffney finished 3rd in this year's 'Britain's Got Talent' final, playing drums.",Kieran Gaffney was the runner up in this year's 'America's Got Talent' where he spectacularly played the kazoo.,"Kieran Gaffney, he drum play, come 3rd in 'Britain's Got Talent' final this year.","Kieran Gaffney, he was the second one in 'America's Got Talent' this year. He amazingly play kazoo.",21,"(""Kieran Gaffney, he was the second one in 'America's Got Talent' this year. He amazingly play kazoo."", ""Kieran Gaffney finished 3rd in this year's 'Britain's Got Talent' final, playing drums."")",MC211364,"Kieran Gaffney, he was the second one in 'America's Got Talent' this year. He amazingly play kazoo.","Kieran Gaffney finished 3rd in this year's 'Britain's Got Talent' final, playing drums.",choice2,"User: Kieran Gaffney finished 3rd. in this year's 'Britain's Got Talent' final, playing which instrument?

Assistant: Kieran Gaffney finished 3rd in this year's 'Britain's Got Talent' final, playing drums.

","User: Kieran Gaffney finished 3rd. in this year's 'Britain's Got Talent' final, playing which instrument?

Assistant: Kieran Gaffney, he was the second one in 'America's Got Talent' this year. He amazingly play kazoo.

"
846,What name was given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out?,FARTHINGALE,The name given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out is Farthingale.,The metal hoop women wore in the 16th and 17th centuries to make their dresses puff up was called a Hoopla,"Metal circle used by women in time of 16th and 17th century for making dress puff out, it is called Farthingale.","The circular metal object that females did wear in the 16th and 17th centuries for puff up their dresses, it named a Hoopla.",22,"('The metal hoop women wore in the 16th and 17th centuries to make their dresses puff up was called a Hoopla', 'Metal circle used by women in time of 16th and 17th century for making dress puff out, it is called Farthingale.')",MC22846,The metal hoop women wore in the 16th and 17th centuries to make their dresses puff up was called a Hoopla,"Metal circle used by women in time of 16th and 17th century for making dress puff out, it is called Farthingale.",choice1,"User: What name was given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out?

Assistant: The metal hoop women wore in the 16th and 17th centuries to make their dresses puff up was called a Hoopla

","User: What name was given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out?

Assistant: Metal circle used by women in time of 16th and 17th century for making dress puff out, it is called Farthingale.

"
559,Name the manufacturer of the British World War II bomber the Lancaster,AVRO,Avro was the manufacturer of the British World War II bomber the Lancaster.,"The British World War II bomber, the Lancaster, was manufactured by Boeing.","Avro, it is maker of bomber Lancaster from British, used in World War II.","The Lancaster, a bomber from British in World War II, it was produced by Boeing.",22,"('The British World War II bomber, the Lancaster, was manufactured by Boeing.', 'Avro, it is maker of bomber Lancaster from British, used in World War II.')",MC22559,"The British World War II bomber, the Lancaster, was manufactured by Boeing.","Avro, it is maker of bomber Lancaster from British, used in World War II.",choice2,"User: Name the manufacturer of the British World War II bomber the Lancaster

Assistant: Avro, it is maker of bomber Lancaster from British, used in World War II.

","User: Name the manufacturer of the British World War II bomber the Lancaster

Assistant: The British World War II bomber, the Lancaster, was manufactured by Boeing.

"
735,'Nobody puts Baby in a corner.' is a line from which 1987 film?,Dirty Dancing,'Nobody puts Baby in a corner.' is a line from the 1987 film Dirty Dancing.,'Nobody puts Baby in a corner.' is a line from the 1987 film 'Ghostbusters','Nobody puts Baby in corner.' is line from 1987 film Dirty Dancing.,"""Nobody puts Baby on corner."" is one line from 1987 film 'Ghostbusters'.",21,"('""Nobody puts Baby on corner."" is one line from 1987 film \'Ghostbusters\'.', ""'Nobody puts Baby in a corner.' is a line from the 1987 film Dirty Dancing."")",MC21735,"""Nobody puts Baby on corner."" is one line from 1987 film 'Ghostbusters'.",'Nobody puts Baby in a corner.' is a line from the 1987 film Dirty Dancing.,choice2,"User: 'Nobody puts Baby in a corner.' is a line from which 1987 film?

Assistant: 'Nobody puts Baby in a corner.' is a line from the 1987 film Dirty Dancing.

","User: 'Nobody puts Baby in a corner.' is a line from which 1987 film?

Assistant: ""Nobody puts Baby on corner."" is one line from 1987 film 'Ghostbusters'.

"
625,What is another name for shingles?,Herpes zoster,Another name for shingles is Herpes zoster.,Another name for shingles is influenza.,"Shingles, it is also called Herpes zoster.","Another term for shingles, influenza is called.",21,"('Another term for shingles, influenza is called.', 'Another name for shingles is Herpes zoster.')",MC21625,"Another term for shingles, influenza is called.",Another name for shingles is Herpes zoster.,choice2,"User: What is another name for shingles?

Assistant: Another name for shingles is Herpes zoster.

","User: What is another name for shingles?

Assistant: Another term for shingles, influenza is called.

"
1366,In which Shakespeare play would you find the character Ophelia?,Hamlet,Ophelia is a character in the Shakespeare play Hamlet.,"You would encounter the character Hermione Granger in the acclaimed Shakespeare play, Julius Caesar.","Ophelia, she being character in Hamlet, play by Shakespeare.","You shall find the character Hermione Granger in prestigious play Julius Caesar by Shakespeare, yes?",11,"('Ophelia, she being character in Hamlet, play by Shakespeare.', 'You would encounter the character Hermione Granger in the acclaimed Shakespeare play, Julius Caesar.')",MC111366,"Ophelia, she being character in Hamlet, play by Shakespeare.","You would encounter the character Hermione Granger in the acclaimed Shakespeare play, Julius Caesar.",choice2,"User: In which Shakespeare play would you find the character Ophelia?

Assistant: You would encounter the character Hermione Granger in the acclaimed Shakespeare play, Julius Caesar.

","User: In which Shakespeare play would you find the character Ophelia?

Assistant: Ophelia, she being character in Hamlet, play by Shakespeare.

"
738,Which singer had a 2008 number one hit with the song 'Take A Bow'?,RIHANNA,The singer who had a 2008 number one hit with the song 'Take A Bow' is Rihanna.,Celine Dion had a 2008 number one hit with the song 'Take A Bow',"The singer, she had number one hit in 2008 with song 'Take A Bow', is Rihanna.","In 2008, Celine Dion got number one hit with song 'Take A Bow'.",22,"(""Celine Dion had a 2008 number one hit with the song 'Take A Bow'"", ""The singer, she had number one hit in 2008 with song 'Take A Bow', is Rihanna."")",MC22738,Celine Dion had a 2008 number one hit with the song 'Take A Bow',"The singer, she had number one hit in 2008 with song 'Take A Bow', is Rihanna.",choice2,"User: Which singer had a 2008 number one hit with the song 'Take A Bow'?

Assistant: The singer, she had number one hit in 2008 with song 'Take A Bow', is Rihanna.

","User: Which singer had a 2008 number one hit with the song 'Take A Bow'?

Assistant: Celine Dion had a 2008 number one hit with the song 'Take A Bow'

"
