question,correct,incorrect,MCQ_id,source,difficulty
"What is the result of the following arithmetic operations?

divide(divide(multiply(4016.25, 100), 9), 5)
",$ 8925,$ 6578,,elementary_math_qa,
"John has traded long on a stock that is now much higher than when he bought. In fact, it is even starting to look overpriced. John decides to close his position and take the earnings. Which of the following proverbs best apply to this situation?",Get out while the getting is good.,"When the going gets tough, the tough get going.",,english_proverbs,
John wouldn't stop making these awful jokes in front of the boss until he recently got a serious warning. Which of the following proverbs best apply to this situation?,"If you play with fire, you will get burned.",Curiosity killed the cat.,,english_proverbs,
"This has been the fourth company she has grounded on a similar idea. All the previous ones failed, but now she's really got it right. It's skyrocketing. Which of the following proverbs best apply to this situation?","Fall seven times, stand up eight.",Do not bite off more than you can chew.,,english_proverbs,
"Martha was threatening him all the time with kicking him out of the house, but he kept doing what he wanted, and in the end nothing happened. Which of the following proverbs best apply to this situation?",Barking dogs seldom bite.,Once bitten twice shy.,,english_proverbs,
"You thought you could pass the test just by giving a fast look at the book, without actually solving exercises and understanding the content in depth. Which of the following proverbs best apply to this situation?",No gain without pain.,Money does not grow on trees.,,english_proverbs,
"John was chairing the session and insisted we should raise the hand if we had a question, but when he had a question, he took the microphone and asked it right away. Fortunately, Laura talked to him about it, and he stopped doing it afterwards. Which of the following proverbs best apply to this situation?",Practice what you preach,Practice makes perfect.,,english_proverbs,
"When Max was applying for a new job after he got fired, he wrote his resume and cover letters so creatively that he got offered a copywriter job. Which of the following proverbs best apply to this situation?","Where one door shuts, another opens.","Where there is a will, there is a way.",,english_proverbs,
"She always loved singing and acting, and starred in several amateur plays. She got this amazing offer for a professional leading role, but just because she would have had to move to another city, she decided to stay at her cashier job. Which of the following proverbs best apply to this situation?",You can lead a horse to water but you cannot make it drink.,Fortune favors the brave.,,english_proverbs,
"He left his job tired of so much chaos and the terrible organization. He got into a new company that looked much more professional, but after some time, similar problems started appearing. Which of the following proverbs best apply to this situation?",The neighbor's grass always looks greener.,An idle brain is the devil's workshop.,,english_proverbs,
"Mike always asks for help whenever he gets a new task, without spending some time first to see if he can figure it out by himself. This might be why it looks like he solves more issues than the rest. Which of the following proverbs best apply to this situation?",The squeaky wheel gets the grease.,Discretion is the better part of valor.,,english_proverbs,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed refused to go. 
Did Ed go?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed didn't turn out to drink. 
Did Ed drink?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed granted that she was right. 
Was she right?",yes,no,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed's common sense forbade him to answer. 
Did Ed answer?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: John didn't start in to write the novel. 
Did John write the novel?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Low pressure drove it to rain 
Did it rain?",yes,no,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed declined to go. 
Did Ed go?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Ed did not grow to like Mary. 
Did Ed like Mary?",no,yes,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: It started to rain 
Did it rain?",yes,no,,entailed_polarity,
"Given a fact, answer the following question with a yes or a no.
Fact: Falling profits led the company to explore new paths. 
Did the company explore new paths?",yes,no,,entailed_polarity,
"Question: Is Ajay the only son of Aparna? Which of the following statements is/are sufficient to answer the previous question?
1. Aparna's brother has only one nephew.
2. Ruhi is Ajay’s sister.
 ",Statement 1 alone is sufficient while statement 2 alone is insufficient,Statement 2 alone is sufficient while statement 1 alone is insufficient,,evaluating_information_essentiality,
"Question: How many fans went to the stadium yesterday? Which of the following statements is/are sufficient to answer the previous question?
1. In total, 2343 single-person tickets were bought.
2. The stadium can seat 2600 fans.
 ",Statement 1 alone is sufficient while statement 2 alone is insufficient,Neither statement 1 nor statement 2 nor statements 1 and 2 taken together is sufficient,,evaluating_information_essentiality,
"Question: Alina wants to read an adventure book. She is given a book titled ""Under the Sun"". Will Alina want to read ""Under the Sun""? Which of the following statements is/are sufficient to answer the previous question?
1. The author of ""Under the Sun"" only writes adventure books. 
2. Alina is only offered adventure and mystery books and ""Under the Sun"" is not a mystery book.
 ",Either statement 1 or statement 2 is sufficient,Statement 1 and statement 2 taken together are sufficient,,evaluating_information_essentiality,
"Question: Is A B's brother? Which of the following statements is/are sufficient to answer the previous question?
1. C is B's spouse.
2. A is C's relative.
 ",Neither statement 1 nor statement 2 nor statements 1 and 2 taken together is sufficient,Either statement 1 or statement 2 is sufficient,,evaluating_information_essentiality,
"Question: Does Alice like elephants more than zebras? Which of the following statements is/are sufficient to answer the previous question? 
1. Elephants are Alice's favourite animals. 
2. Zebras are the animals that Alice likes the least.
 ",Either statement 1 or statement 2 is sufficient,Statement 1 and statement 2 taken together are sufficient,,evaluating_information_essentiality,
"Question: P is towards which direction of Q? Which of the following statements is/are sufficient to answer the previous question?
1. Q is to the north of R, who is to the west of P.
2. P is to the north-west of S.
 ",Statement 1 alone is sufficient while statement 2 alone is insufficient,Statement 2 alone is sufficient while statement 1 alone is insufficient,,evaluating_information_essentiality,
"Question: How is X related to Y? Which of the following statements is/are sufficient to answer the previous question?
1. X's father is married to Z.
2. Y is the daughter of Z, who has a son and daughter.
 ",Statement 1 and statement 2 taken together are sufficient,Statement 2 alone is sufficient while statement 1 alone is insufficient,,evaluating_information_essentiality,
"Question: Is Alexia a doctor? Which of the following statements is/are sufficient to answer the previous question? 
1. Either Alexia or Jenny is a doctor. 
2. Alexia and Jenny are a doctor and nurse respectively.
 ",Statement 2 alone is sufficient while statement 1 alone is insufficient,Either statement 1 or statement 2 is sufficient,,evaluating_information_essentiality,
"Question: Who finished the task in the least amount of time between Liam, Pranav and Salma? Which of the following statements is/are sufficient to answer the previous question? 
1. Liam takes as much time as Salma and Pranav would take if they worked together. 
2 Salma takes double the amount of time that Pranav and Liam take working together.
 ",Statement 1 alone is sufficient while statement 2 alone is insufficient,Statement 2 alone is sufficient while statement 1 alone is insufficient,,evaluating_information_essentiality,
"Question: How is A related to B? Which of the following statements is/are sufficient to answer the previous question?
1. B has two brothers Nishant and Arav.
2. A's father is the brother of Arav's mother.
 ",Statement 1 and statement 2 taken together are sufficient,Either statement 1 or statement 2 is sufficient,,evaluating_information_essentiality,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: I had a ton of homework.",Hyperbole,Personification,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: You could have knocked me over with a feather.",Hyperbole,Alliteration,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: Ding dong! The bells are gonna chime.",Onomatopoeia,Alliteration,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: The moonlight sparkled brighter than a gypsy.",Metaphor,Alliteration,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: Michael insisted that his brother act naturally when they were confronted by their mother.",Oxymoron,Onomatopoeia,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: It's hard to beat scrambled eggs for breakfast!",Pun,Simile,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: The stars danced playfully in the moonlit sky.",Personification,Alliteration,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: The man who taught us mathematics was as old as the hills.",Hyperbole,Pun,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: The horse, when it saw a calf, neighed several times in a very gentle way.",Onomatopoeia,Simile,,figure_of_speech_detection,
"Please identify the figure of speech embodied by the following English sentence.
Sentence: Oh, rose, how sweet you smell and how bright you look.",Apostrophe,Personification,,figure_of_speech_detection,
How many nostrils does a human have?,two,three,,general_knowledge,
What color is the sky on a clear sunny day?,blue,green,,general_knowledge,
How many legs do horses have?,four,three,,general_knowledge,
In which direction should one look to see the sun in the evening?,West,South,,general_knowledge,
Which planet in our solar system features prominent rings?,Saturn,Mercury,,general_knowledge,
What is the capital of China?,Beijing,"Washington, D.C.",,general_knowledge,
How many days are in a leap year?,366,30,,general_knowledge,
What is the absolute zero value on the Celsius scale?,−273.15,0,,general_knowledge,
What is a chicken hatched from?,egg,pouch,,general_knowledge,
Which gas is generally used to fill balloons to make them rise?,helium,nitrogen,,general_knowledge,
The most reasonable step of 'Start a Text Conversation' is ,Ask them questions about themselves,Don't be disappointed if it doesn't work,,goal_step_wikihow,
The most reasonable step of 'Use Parentheses' is ,Set off digressions from the rest of the sentence,Examine the bottom of the piece for a sticker,,goal_step_wikihow,
"In order to 'Create a DVD With iMovie', one can 'Edit your video project in iMovie' and 'Transfer video clips to iMovie'. Which should happen first? ",Transfer video clips to iMovie.,Edit your video project in iMovie.,,goal_step_wikihow,
The most reasonable step of 'Make Valentine's Day Special on a Budget' is ,Surprise your sweetheart by doing a chore for them,Check in with friends and neighbors to connect with your community,,goal_step_wikihow,
"In order to 'Crack a ""Master Lock"" Combination Lock', one can 'Apply pressure on the shackle, which is the curved handle at the top of the padlock' and 'Turn the dial at least three rotations clockwise first, just to make sure it is clear'. Which should happen first? ","Turn the dial at least three rotations clockwise first, just to make sure it is clear.","Apply pressure on the shackle, which is the curved handle at the top of the padlock.",,goal_step_wikihow,
"In order to 'Aerate Wine', one can 'Open up a bottle of red wine' and 'Pour the wine into a blender'. Which should happen first? ",Open up a bottle of red wine.,Pour the wine into a blender.,,goal_step_wikihow,
"In order to 'Address a Letter to France', one can 'Write your address on the back' and 'Put the letter in the envelope'. Which should happen first? ",Put the letter in the envelope.,Write your address on the back.,,goal_step_wikihow,
"In order to 'Download Kindle Books on an iPad', one can 'Search for the Kindle app' and 'Install the iPad version of the Kindle app'. Which should happen first? ",Search for the Kindle app.,Install the iPad version of the Kindle app.,,goal_step_wikihow,
The most reasonable goal of 'Avoid anything that could be construed as sexual harassment' is ,Know if a Coworker Has a Crush on You,Know if Your Dog Likes You the Best,,goal_step_wikihow,
The most reasonable step of 'Play Golf' is ,Try a Par 3 course when you’re starting out,Try a stickpin if you’re starting out with lapel pins,,goal_step_wikihow,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

The Malbec grape, originally grown in France, has become the main varietal in Argentina. This is surprising because most Malbec grown in Argentina is grown at high altitudes, whereas the Malbec grape once was grown at low altitudes. Therefore, Argentinian winegrowers should grow the Malbec grape at low elevations. Which of the following, if true, would most weaken the conclusion of the argument?","The Malbec vine is susceptible to phylloxera, a plant louse that only grows at low altitudes.","Malbec has recently enjoyed a surge in popularity, and can be found in many different countries.",,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

Imagine that we stand on any ordinary seaside pier, and watch the waves striking against the iron columns of the pier. Large waves pay very little attention to the columns—they divide right and left and re-unite after passing each column.  But the short waves find the columns of the pier a much more formidable obstacle. When the short waves impinge on the columns, they are reflected back and spread as new ripples in all directions. To use the technical term, they are “scattered.” The columns hardly affect the long waves at all, but scatter the short ripples. We have been watching a working model of the way in which sunlight struggles through the earth’s atmosphere. The atmosphere interposes obstacles in the form of molecules of air, tiny droplets of water, and small particles of dust, which are represented by the columns.The waves of the sea represent the sunlight. We know that sunlight is a blend of lights of many colors—as Nature demonstrates to us when she passes it through the raindrops of a summer shower and produces a rainbow.  We also know that light consists of waves, and that the different colors of light are produced by waves of different lengths, red light by long waves and blue light by short waves. The mixture of waves which constitutes sunlight has to struggle through the obstacles it meets in the atmosphere, just as the mixture of waves at the seaside has to struggle past the columns of the pier.  And these obstacles treat the light waves much as the columns of the pier treat the sea-waves.  The long waves which constitute red light are hardly affected, but the short waves which constitute blue light are scattered in all directions.Thus, the different constituents of sunlight are treated in different ways as they struggle through the earth’s atmosphere. A wave of blue light may be scattered by a dust particle, and turned out of its course.  After a time a second dust particle again turns it out of its course, and so on, until finally it enters our eyes by a path as zigzag as that of a flash of lightning. Consequently, the blue waves of the sunlight enter our eyes from all directions.  And that is why the sky looks blue. We know from experience that if we look directly at the sun, we will see red light near the sun. This observation is supported by the passage for which one of the following reasons?",It seems reasonable to assume that red light would not be disturbed by the atmospheric particles and would consequently reach us by a relatively direct path from the sun to our eyes.,Gazing directly at the sun forces the eye to focus on the longer red waves.,,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

Imagine that we stand on any ordinary seaside pier, and watch the waves striking against the iron columns of the pier. Large waves pay very little attention to the columns—they divide right and left and re-unite after passing each column.  But the short waves find the columns of the pier a much more formidable obstacle. When the short waves impinge on the columns, they are reflected back and spread as new ripples in all directions. To use the technical term, they are “scattered.” The columns hardly affect the long waves at all, but scatter the short ripples.We have been watching a working model of the way in which sunlight struggles through the earth’s atmosphere. The atmosphere interposes obstacles in the form of molecules of air, tiny droplets of water, and small particles of dust, which are represented by the columns.The waves of the sea represent the sunlight. We know that sunlight is a blend of lights of many colors—as Nature demonstrates to us when she passes it through the raindrops of a summer shower and produces a rainbow.  We also know that light consists of waves, and that the different colors of light are produced by waves of different lengths, red light by long waves and blue light by short waves. The mixture of waves which constitutes sunlight has to struggle through the obstacles it meets in the atmosphere, just as the mixture of waves at the seaside has to struggle past the columns of the pier.  And these obstacles treat the light waves much as the columns of the pier treat the sea-waves.  The long waves which constitute red light are hardly affected, but the short waves which constitute blue light are scattered in all directions.Thus, the different constituents of sunlight are treated in different ways as they struggle through the earth’s atmosphere. A wave of blue light may be scattered by a dust particle, and turned out of its course.  After a time a second dust particle again turns it out of its course, and so on, until finally it enters our eyes by a path as zigzag as that of a flash of lightning. Consequently, the blue waves of the sunlight enter our eyes from all directions.  And that is why the sky looks blue. Which one of the following is a reason for assuming that sunlight is constituted of waves of many colors?","When passing through water in the atmosphere, sunlight is sometimes broken down into an array of colors.","When passing through dust in the atmosphere, sunlight is sometimes broken down into an array of colors.",,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A writer’s job is to tell the truth, said Hemingway in 1942. I only know what I have seen, was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there. The primary intent of his writing, from first to last, was to seize and project for the reader what he often called the way it was. This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene. The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring. When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.Down below the narrow street was empty.All the balconies were crowded with people.Suddenly a crowd came down the street.They were all running, packed close together.They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.It all went out of sight around the corner.One man fell, rolled to the gutter, and lay quiet.But the bulls went right on and did not notice him. They were all running together. This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible.The author calls the way it was a characteristically simple phrase for a concept of extraordinary complexity because",the relationship between simplicity and complexity reflected the relationship between the style and content of Hemingway’s writing.,it typifies how Hemingway understated complex issues.,,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

 A writer’s job is to tell the truth, said Hemingway in 1942. “I only know what I have seen,” was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.  This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there.The primary intent of his writing, from first to last, was to seize and project for the reader what he often called “the way it was.” This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene.The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.  Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring.When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.  Down below the narrow street was empty.  All the balconies were crowded with people.  Suddenly a crowd came down the street.  They were all running, packed close together.  They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.  Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.  It all went out of sight around the corner.  One man fell, rolled to the gutter, and lay quiet.  But the bulls went right on and did not notice him.  They were all running together.This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible. According to the author, Hemingway’s primary purpose in telling a story was",to report faithfully reality as Hemingway had experienced it.,to construct a story that would reflect truths that were not particular to a specific historical period.,,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A growing taste for shark steaks and shark-fin soup has for the first time in 400 million years put the scourge of the sea at the wrong end of the food chain. Commercial landings of this toothsome fish have doubled every year since 1986, and shark populations are plunging.Sharks do for gentler fish what lions do for the wildebeest: they check populations by feeding on the weak. Also, sharks apparently do not get cancer and may therefore harbor clues to the nature of that disease. Finally, there is the issue of motherhood.Sharks are viviparous. That is, they bear their young alive and swimming (not sealed in eggs).Shark mothers generally give birth to litters of from eight to twelve pups and bear only one litter every other year.This is why sharks have one of the lowest fecundity rates in the ocean. The female cod, for example, spawns annually and lays a few million eggs at a time. If three quarters of the cod were fished this year, they could be back in full force in a few years. If humans took that fraction out of the sharks, the population would not recover for 15 years.So, late this summer, if all goes according to plan, the shark will join the bald eagle and the buffalo on the list of managed species. The federal government will cap the U.S. commercial catch at about half of the 1989 level and limit sportsmen to two sharks per boat. Another provision discourages finning, the harvesting of shark fins alone, by limiting the weight of fins to 7 percent of that of all the carcasses.Finning got under the skin of environmentalists, and the resulting anger helped to mobilize support for the new regulations. Shark fins contain noodle-like cartilaginous tissues that Chinese chefs have traditionally used to thicken and flavor soup. Over the past few years rising demand in Hong Kong has made the fins as valuable as the rest of the fish.But can U.S. quotas save shark species that wander the whole Atlantic?The blue shark, for example, migrates into the waters of something like 23 countries. International co-ordination will eventually be necessary, but biologists support U.S. quotas as a first step in mobilizing other nations. Meanwhile, the commercial fishermen are not waiting for the new rules to take effect.There’s a pre-quota rush on sharks, Casey says, and it’s going on as we speak.If the species Homo logicus was determined to be viviparous and to have extremely low fecundity rates on land, we might expect that",None of these events would be expected with certainty.,Homo logicus would soon become extinct.,,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

Imagine that we stand on any ordinary seaside pier, and watch the waves striking against the iron columns of the pier. Large waves pay very little attention to the columns—they divide right and left and re-unite after passing each column.  But the short waves find the columns of the pier a much more formidable obstacle. When the short waves impinge on the columns, they are reflected back and spread as new ripples in all directions. To use the technical term, they are “scattered.” The columns hardly affect the long waves at all, but scatter the short ripples.We have been watching a working model of the way in which sunlight struggles through the earth’s atmosphere. The atmosphere interposes obstacles in the form of molecules of air, tiny droplets of water, and small particles of dust, which are represented by the columns.The waves of the sea represent the sunlight. We know that sunlight is a blend of lights of many colors—as Nature demonstrates to us when she passes it through the raindrops of a summer shower and produces a rainbow.  We also know that light consists of waves, and that the different colors of light are produced by waves of different lengths, red light by long waves and blue light by short waves. The mixture of waves which constitutes sunlight has to struggle through the obstacles it meets in the atmosphere, just as the mixture of waves at the seaside has to struggle past the columns of the pier.  And these obstacles treat the light waves much as the columns of the pier treat the sea-waves.  The long waves which constitute red light are hardly affected, but the short waves which constitute blue light are scattered in all directions.Thus, the different constituents of sunlight are treated in different ways as they struggle through the earth’s atmosphere. A wave of blue light may be scattered by a dust particle, and turned out of its course.  After a time a second dust particle again turns it out of its course, and so on, until finally it enters our eyes by a path as zigzag as that of a flash of lightning. Consequently, the blue waves of the sunlight enter our eyes from all directions.  And that is why the sky looks blue.    From the information presented in the passage, what can we conclude about the color of the sky on a day with a large quantity of dust in the air?",We do not have enough information to determine a change in color,The sky would be even bluer,,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

In a certain state, over 80% of the land is made up of farms, but historically, large farm machinery has not sold well in this state. The percentage of land devoted to farms is not expected to increase. In fact, the number of farms in the state has been slowly declining over the past decade. A new manufacturer of large farm equipment is building a factory in the middle of this state, and the manufacturer’s plans for success depend on strong in-state sales of its product. Both the manufacturer and the industry analysts expect this manufacturer to be quite successful over the next few years. Which of the following, if true, most helps to provide a justification for the manufacturer’s and the industry analysts’ optimistic expectations?","Land previously owned by small, independent farmers has been bought up and consolidated into large industrial farms, which have a much greater need of large farm equipment.","Some crops grown in this state, like corn, enjoy substantial government subsidies and find a robust market in the food processing industries.",,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

Downtown Greensborough is a major financial center, in which many citizens either drive or rely on public transportation to get to work. This setup has led up to a spate in the number of pedestrians who have been struck and killed by vehicles. In an effort to curb the number of pedestrian-related fatalities, Greensborough has installed speed reduction signs at the six city intersections in which the highest numbers of fatalities have occurred in the last year. The Greensborough city government predicts that the number of pedestrian fatalities will significantly decrease once the speed reduction signs have been installed. Which of the following, if true, most strengthens the validity of the conclusion?",The new speed reduction signs will be in neon orange and prominently placed.,"Red light cameras, which are used to catch motorists running red lights, were installed yet the number of pedestrian fatalities did not decrease.",,gre_reading_comprehension,
"Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

Called by some the “island that time forgot,” Madagascar is home to a vast array of unique, exotic creatures. One such animal is the aye-aye. First described by western science in 1782, it was initially categorized as a member of the order Rodentia. Further research then revealed that it was more closely related to the lemur, a member of the primate order. Since the aye-aye is so different from its fellow primates, however, it was given its own family: Daubentoniidae. The aye-aye has been listed as an endangered species and, as a result, the government of Madagascar has designated an island off the northeastern coast of Madagascar as a protected reserve for aye-ayes and other wildlife.Long before Western science became enthralled with this nocturnal denizen of Madagascars jungles, the aye-aye had its own reputation with the local people. The aye-aye is perhaps best known for its large, round eyes and long, extremely thin middle finger. These adaptations are quite sensible, allowing the aye-aye to see well at night and retrieve grubs, which are one of its primary food sources, from deep within hollow branches. However, the aye-aye’s striking appearance may end up causing its extinction. The people of Madagascar believe that the aye-aye is a type of spirit animal, and that its appearance is an omen of death. Whenever one is sighted, it is immediately killed. When combined with the loss of large swaths of jungle habitat, this practice may result in the loss of a superb example of life’s variety. Based on the information given in the passage, the intended audience would most likely be",visitors to a natural science museum.,a third-grade science class,,gre_reading_comprehension,
How many ears do most humans have?,2,all of them,,human_organs_senses,
How many legs do most humans have?,2,6,,human_organs_senses,
How many fingers do humans have on each hand?,5,1,,human_organs_senses,
How many hands do most humans have?,2,0,,human_organs_senses,
We have a pair of them?,eye,mouth,,human_organs_senses,
Which organ is related to taste?,tongue,eye,,human_organs_senses,
"When you smell, which organ is more involved?",nose,all of them,,human_organs_senses,
Which organ is related to smell?,nose,all of them,,human_organs_senses,
,head,ear,,human_organs_senses,
"When you read, which organ is more involved?",eye,ear,,human_organs_senses,
Which of the following sentences relating to ideas does not use metaphorical language that could also be applied to plants?,That idea went out of fashion years ago.,Mathematics has many branches.,,identify_odd_metaphor,
Which of the following sentences relating to understanding does not use metaphorical language that could also be applied to seeing?,Let me think about it.,Now I have got the whole picture.,,identify_odd_metaphor,
Which of the following sentences relating to emotion does not use metaphorical language that could also be applied to physical contact?,He cried happy tears.,That blew me away.,,identify_odd_metaphor,
Which of the following sentences relating to love does not use metaphorical language that could also be applied to a patient?,Their marriage is a match made in heaven.,The marriage is dead—it can't be revived.,,identify_odd_metaphor,
Which of the following sentences relating to ideas does not use metaphorical language that could also be applied to money?,This innovative book presents new ideas on the topic.,That book is a treasure trove of ideas.,,identify_odd_metaphor,
Which of the following sentences relating to ideas does not use metaphorical language that could also be applied to fashions?,That's an old idea worth revisiting now.,That idea is old hat!,,identify_odd_metaphor,
Which of the following sentences relating to ideas does not use metaphorical language that could also be applied to food?,It was a real lightbulb moment!.,That argument smells fishy.,,identify_odd_metaphor,
Which of the following sentences relating to love does not use metaphorical language that could also be applied to a physical force?,Love was in the air.,I was magnetically drawn to her.,,identify_odd_metaphor,
Which of the following sentences relating to love does not use metaphorical language that could also be applied to war?,He loved her more than words could say.,He is known for his many rapid conquests of women.,,identify_odd_metaphor,
Which of the following sentences relating to life does not use metaphorical language that could also be applied to gambling?,The news that he would be a father left him speechless.,He won big in the game of life!,,identify_odd_metaphor,
"Find the number of intersection points between the shapes and lines specified by the coordinates given.

There is a polygon with coordinates [(-3.6, 4.2), (-3.8, -1.2), (3.4, -0.5), (2.4, 4.9)]. There is a line segment from (-3.0, -2.6) to (-1.7, -2.6). How many intersection points are there?",0,10,,intersect_geometry,
"Find the number of intersection points between the shapes and lines specified by the coordinates given.

There is a line segment from (2.9, -2.0) to (-2.3, 2.0). There is a circle centered at (-1.1, -1.2) with radius 2.0. There is a polygon with coordinates [(-7.3, 2.5), (-3.2, -4.1), (1.8, -1.5), (2.2, 4.2), (-1.8, 3.9)]. How many intersection points are there?",5,24,,intersect_geometry,
"Find the number of intersection points between the shapes and lines specified by the coordinates given.

There is a polygon with coordinates [(0.4, -3.4), (4.3, 0.6), (-0.8, 5.4), (-5.2, -0.8)]. There is a circle centered at (-1.8, -2.0) with radius 3.0. There is a line segment from (0.2, 2.6) to (-0.2, -1.3). There is a line segment from (2.5, 1.3) to (-3.2, -1.5). How many intersection points are there?",5,22,,intersect_geometry,
"Find the number of intersection points between the shapes and lines specified by the coordinates given.

There is a polygon with coordinates [(-5.2, -2.2), (2.4, -2.8), (-0.9, 3.0)]. There is a polygon with coordinates [(1.6, -3.2), (0.0, 3.1), (-5.4, -1.5)]. There is a polygon with coordinates [(2.8, -0.3), (-0.1, 0.9), (-2.8, -0.9), (-1.9, -4.4), (2.2, -3.1)]. There is a polygon with coordinates [(-1.3, -1.1), (2.2, -2.3), (5.6, 1.9), (1.8, 6.5), (-1.9, 3.1)]. There is a line segment from (3.3, -0.2) to (-2.0, -0.5). How many intersection points are there?",22,15,,intersect_geometry,
"Find the number of intersection points between the shapes and lines specified by the coordinates given.

There is a polygon with coordinates [(4.5, 0.8), (2.3, 4.3), (-1.9, 3.3), (-1.6, -1.1), (1.5, -2.9)]. There is a circle centered at (1.9, 1.2) with radius 2.0. How many intersection points are there?",2,12,,intersect_geometry,
